,unique_ID,experiment,position,track,cell_id,parent,max_slope,appearance_time,time_of_max_slope,start_inc,start_idx_var_value,y_pos_start_inc,y_pos_appearance,gfp_on,end_inc,end_idx_var_value,born_on,lifetime,slope_th,max_gfp,max_gfp_time,min_post_max,min_time_post_max,switch_like,becomes_positive,duration,magnitude_inc,category,long_enough_time,parent_start_inc
23,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,9,5,,515,,,,,141.6338,,,,True,74,0.04,9.829536437988281,845.0,9.801491737365723,870.0,False,False,,,,True,
24,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,10,6,,560,,,,,203.48352,,,,True,50,0.04,9.698225021362305,775.0,9.386392593383789,790.0,False,False,,,,False,
25,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,11,8,,585,,,,,72.4359,,,,True,100,0.04,9.873492240905762,950.0,9.740458488464355,1060.0,False,False,,,,True,
26,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,12,1,,655,,,,,53.57143,,,,True,86,0.04,9.705788612365723,1080.0,9.705788612365723,1080.0,False,False,,,,True,310
27,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,13,3,,665,,,,,243.95,,,,True,34,0.04,9.80134391784668,830.0,9.80134391784668,830.0,False,False,,,,False,235
28,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,14,4,,685,,,,,124.95775,,,,True,80,0.04,9.286900520324707,885.0,9.1047945022583,1005.0,False,False,,,,True,255
29,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,15,9,,695,,,,,242.73529,,,,True,36,0.04,9.4342041015625,865.0,9.42003345489502,870.0,False,False,,,,False,
30,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,16,2,,695,,,,,192.73196,,,,True,56,0.04,9.49657154083252,970.0,9.49657154083252,970.0,False,False,,,,False,235
31,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,17,5,,710,,,,,227.05084,,,,True,37,0.04,9.579164505004883,825.0,9.491023063659668,870.0,False,False,,,,False,
32,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,18,7,,710,,,,,157.84932,,,,True,68,0.04,9.704731941223145,1045.0,9.704731941223145,1045.0,False,False,,,,False,
33,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,19,10,,720,,,,,338.40567,,,,True,16,0.04,9.793169975280762,795.0,9.793169975280762,795.0,False,False,,,,False,
34,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,20,1,,750,,,,,49.28767,,,,True,67,0.04,9.933353424072266,895.0,9.755064964294434,1080.0,False,False,,,,False,310
35,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,21,12,,765,,,,,75.753845,,,,True,64,0.04,9.47398567199707,990.0,9.393522262573242,1080.0,False,False,,,,False,
