,unique_ID,experiment,channel_width,last_valid_cell_time,first_valid_cell_time,position,track,cell_id,parent,cycle,start_time,start_length,end_time,end_length,cycle_duration,total_growth,avg_elong_rate
29,20240809__XY10_crop13__Track_4,20240809,1.3,1080,0,XY10_crop13,Track_4,1,0,2,215,2.116246461868286,360,3.531599998474121,145,1.415353536605835,0.009761058873143689
30,20240809__XY10_crop13__Track_4,20240809,1.3,1080,0,XY10_crop13,Track_4,1,0,3,365,1.9886175394058228,650,5.076662063598633,285,3.08804452419281,0.010835243944536176
31,20240809__XY10_crop13__Track_4,20240809,1.3,1080,0,XY10_crop13,Track_4,1,0,4,655,3.0348806381225586,745,4.210474967956543,90,1.1755943298339844,0.013062159220377604
32,20240809__XY10_crop13__Track_4,20240809,1.3,1080,0,XY10_crop13,Track_4,1,0,5,750,2.5241434574127197,1025,6.002565860748291,275,3.4784224033355713,0.012648808739402077
33,20240809__XY10_crop13__Track_4,20240809,1.3,1080,0,XY10_crop13,Track_4,1,0,6,1030,3.4197659492492676,1080,4.063409805297852,50,0.643643856048584,0.01287287712097168
34,20240809__XY10_crop13__Track_4,20240809,1.3,1010,45,XY10_crop13,Track_4,2,1,0,45,1.8928284645080566,205,3.649273633956909,160,1.7564451694488525,0.010977782309055328
35,20240809__XY10_crop13__Track_4,20240809,1.3,1010,45,XY10_crop13,Track_4,2,1,1,210,1.8928284645080566,325,3.4197659492492676,115,1.526937484741211,0.013277717258619226
36,20240809__XY10_crop13__Track_4,20240809,1.3,1010,45,XY10_crop13,Track_4,2,1,2,330,1.9886175394058228,690,5.225934982299805,360,3.237317442893982,0.008992548452483283
37,20240809__XY10_crop13__Track_4,20240809,1.3,1010,45,XY10_crop13,Track_4,2,1,3,695,2.906888246536255,865,5.603587627410889,170,2.696699380874634,0.01586293753455667
38,20240809__XY10_crop13__Track_4,20240809,1.3,1010,45,XY10_crop13,Track_4,2,1,4,870,3.1869890689849854,980,5.214604377746582,110,2.0276153087615967,0.018432866443287243
39,20240809__XY10_crop13__Track_4,20240809,1.3,1010,45,XY10_crop13,Track_4,2,1,5,985,2.871793746948242,1010,3.2733163833618164,25,0.4015226364135742,0.01606090545654297
40,20240809__XY10_crop13__Track_4,20240809,1.3,835,210,XY10_crop13,Track_4,3,2,0,210,1.8928284645080566,335,3.0012829303741455,125,1.1084544658660889,0.00886763572692871
41,20240809__XY10_crop13__Track_4,20240809,1.3,835,210,XY10_crop13,Track_4,3,2,1,340,1.5216108560562134,660,3.144280433654785,320,1.6226695775985718,0.0050708424299955365
42,20240809__XY10_crop13__Track_4,20240809,1.3,835,210,XY10_crop13,Track_4,3,2,2,665,1.7344162464141846,835,3.2733163833618164,170,1.5389001369476318,0.009052353746750775
43,20240809__XY10_crop13__Track_4,20240809,1.3,1080,215,XY10_crop13,Track_4,4,1,0,215,1.8613166809082031,360,3.0598363876342773,145,1.1985197067260742,0.008265653149834995
44,20240809__XY10_crop13__Track_4,20240809,1.3,1080,215,XY10_crop13,Track_4,4,1,1,365,1.5707958936691284,680,3.8256239891052246,315,2.254828095436096,0.007158184429955861
45,20240809__XY10_crop13__Track_4,20240809,1.3,1080,215,XY10_crop13,Track_4,4,1,2,685,2.144014835357666,1080,5.498554229736328,395,3.354539394378662,0.008492504795895348
46,20240809__XY10_crop13__Track_4,20240809,1.3,910,330,XY10_crop13,Track_4,5,2,0,330,1.8106904029846191,510,3.2733163833618164,180,1.4626259803771973,0.008125699890984429
47,20240809__XY10_crop13__Track_4,20240809,1.3,910,330,XY10_crop13,Track_4,5,2,1,515,1.7344162464141846,705,3.0598363876342773,190,1.3254201412200928,0.006975895480105751
48,20240809__XY10_crop13__Track_4,20240809,1.3,910,330,XY10_crop13,Track_4,5,2,2,710,1.7344162464141846,910,1.8613166809082031,200,0.12690043449401855,0.0006345021724700928
49,20240809__XY10_crop13__Track_4,20240809,1.3,805,340,XY10_crop13,Track_4,6,3,0,340,1.7681910991668701,555,3.2733163833618164,215,1.5051252841949463,0.007000582717185797
50,20240809__XY10_crop13__Track_4,20240809,1.3,805,340,XY10_crop13,Track_4,6,3,1,560,1.400142788887024,805,1.9886175394058228,245,0.5884747505187988,0.002401937757219587
51,20240809__XY10_crop13__Track_4,20240809,1.3,1065,365,XY10_crop13,Track_4,7,4,0,365,1.581518292427063,705,3.3143625259399414,340,1.7328442335128784,0.005096600686802583
52,20240809__XY10_crop13__Track_4,20240809,1.3,1065,365,XY10_crop13,Track_4,7,4,1,710,1.6080111265182495,1065,3.8056929111480713,355,2.1976817846298218,0.006190652914450202
53,20240809__XY10_crop13__Track_4,20240809,1.3,1080,365,XY10_crop13,Track_4,8,1,0,365,1.6899999380111694,580,3.4197659492492676,215,1.7297660112380981,0.008045423308084177
