,unique_ID,experiment,position,track,cell_id,min_slope_ruby,time_of_min_slope_ruby,lifetime,mean_ruby_lifetime,max_ruby,max_ruby_time
39,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,25,-0.02477741241455078,110,23,8.885463,8.936139106750488,870.0
40,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,26,-0.041835784912109375,5,37,9.127118,9.200875282287598,1080.0
41,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,27,0.0,10,4,8.902763,8.906771659851074,955.0
42,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,28,-0.027352333068847656,20,20,8.985947,9.065983772277832,1060.0
43,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,29,-0.008809089660644531,5,5,8.91636,8.933636665344238,985.0
44,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,30,-0.011404037475585938,20,11,9.122558,9.144035339355469,1070.0
45,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,31,-0.024112701416015625,35,9,9.081952,9.12159538269043,1040.0
46,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,32,-0.017889976501464844,30,8,9.023811,9.049756050109863,1070.0
47,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,33,,,1,9.1494,9.149399757385254,1080.0
48,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,1,-0.048989295959472656,905,217,9.012056,9.406108856201172,190.0
49,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,2,-0.04628181457519531,260,177,8.992472,9.43110466003418,205.0
50,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,3,-0.038916587829589844,215,90,8.763195,8.893452644348145,1040.0
51,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,4,-0.033370018005371094,220,89,8.979582,9.079676628112793,845.0
52,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,5,-0.035553932189941406,20,38,8.715966,8.765841484069824,1075.0
53,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,6,-0.035264015197753906,5,37,8.747721,8.841465950012207,1035.0
54,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,7,-0.02915668487548828,10,38,9.068554,9.176141738891602,1025.0
55,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,8,-0.031083106994628906,135,33,9.002641,9.057397842407227,1020.0
56,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,9,-0.029388427734375,30,7,8.762948,8.77489948272705,1070.0
57,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,10,-0.011727333068847656,5,6,9.043222,9.055920600891113,1075.0
58,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,1,-0.0892019271850586,340,217,8.786719,9.1692533493042,195.0
59,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,2,-0.03525733947753906,90,151,8.867012,9.101469039916992,1080.0
60,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,3,-0.03428173065185547,230,121,8.930037,9.231266021728516,1080.0
61,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,4,-0.03716850280761719,290,120,8.845292,8.995676040649414,895.0
62,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,5,-0.045719146728515625,95,97,8.865415,9.093745231628418,1075.0
63,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,6,-0.030152320861816406,235,90,8.883304,9.007259368896484,1075.0
64,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,7,-0.042382240295410156,20,66,8.932671,9.078954696655273,1070.0
65,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,8,-0.035225868225097656,130,56,8.948953,9.133544921875,1080.0
66,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,9,-0.019315719604492188,210,49,8.870025,8.956925392150879,1040.0
67,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,10,-0.02779102325439453,70,45,8.871106,9.032264709472656,1080.0
68,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,11,-0.051067352294921875,25,41,8.9914055,9.085962295532227,1070.0
69,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,12,-0.041118621826171875,5,28,8.925841,9.018427848815918,945.0
70,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,13,-0.01808929443359375,55,27,8.916484,9.001689910888672,1080.0
71,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,14,-0.024929046630859375,25,28,8.984866,9.130010604858398,1080.0
72,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,15,-0.016226768493652344,15,23,8.981582,9.104104042053223,1075.0
73,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,16,-0.02474212646484375,40,18,9.118055,9.166958808898926,1075.0
74,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,17,-0.034880638122558594,20,14,9.0485735,9.09798812866211,1020.0
75,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,18,-0.0283660888671875,20,10,8.867094,8.899770736694336,1040.0
76,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,19,,,1,8.993773,8.993773460388184,1080.0
77,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,20,-0.0077877044677734375,10,4,8.970896,8.977624893188477,1065.0
78,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,21,,,1,8.9991,8.999099731445312,1080.0
79,20240809__XY10_crop7__Track_11,20240809,XY10_crop7,Track_11,1,-0.045052528381347656,830,217,9.196761,9.525403022766113,280.0
80,20240809__XY10_crop7__Track_11,20240809,XY10_crop7,Track_11,2,-0.04160118103027344,265,153,9.07874,9.469915390014648,330.0
81,20240809__XY10_crop7__Track_11,20240809,XY10_crop7,Track_11,3,-0.03030109405517578,170,80,8.779058,9.00586986541748,1070.0
82,20240809__XY10_crop7__Track_11,20240809,XY10_crop7,Track_11,4,-0.04189109802246094,250,52,9.196778,9.284253120422363,845.0
83,20240809__XY10_crop7__Track_11,20240809,XY10_crop7,Track_11,5,-0.03702259063720703,20,29,9.21757,9.281648635864258,1045.0
84,20240809__XY10_crop7__Track_11,20240809,XY10_crop7,Track_11,6,-0.012532234191894531,100,27,8.785239,8.888957977294922,1080.0
85,20240809__XY10_crop7__Track_11,20240809,XY10_crop7,Track_11,7,-0.03219890594482422,35,8,9.086597,9.116592407226562,1065.0
86,20240809__XY10_crop7__Track_11,20240809,XY10_crop7,Track_11,8,-0.021718978881835938,15,5,9.138205,9.160497665405273,1060.0
87,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,1,-0.09282684326171875,545,217,8.760918,9.174760818481445,150.0
88,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,2,-0.44918155670166016,520,108,9.113183,9.515847206115723,770.0
89,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,3,-0.04950714111328125,420,96,9.039503,9.09968376159668,715.0
90,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,4,-0.043387413024902344,180,145,8.985356,9.196592330932617,890.0
91,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,5,-0.04318046569824219,170,111,8.985873,9.278913497924805,885.0
92,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,6,-0.047931671142578125,80,125,8.853506,9.247712135314941,1035.0
93,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,7,-0.03735160827636719,375,80,9.053668,9.208149909973145,765.0
94,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,8,-0.045528411865234375,245,61,8.962431,9.04920768737793,530.0
95,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,9,-0.05158519744873047,85,110,8.750206,8.93293285369873,880.0
96,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,10,-0.02541637420654297,490,110,8.839339,9.260252952575684,1080.0
97,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,11,-0.031421661376953125,215,79,8.916155,9.080890655517578,885.0
98,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,12,-0.033080101013183594,15,96,8.953453,9.125521659851074,965.0
99,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,13,-0.03420448303222656,150,45,9.029157,9.089316368103027,765.0
100,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,14,-0.02535247802734375,95,29,8.925627,8.988419532775879,775.0
101,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,15,-0.04737567901611328,130,33,9.014316,9.093783378601074,665.0
102,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,16,-0.022037506103515625,20,85,8.9595175,9.296467781066895,1070.0
103,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,17,-0.03125190734863281,25,84,8.921778,9.200638771057129,1080.0
104,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,18,-0.045525550842285156,215,48,8.943817,8.98908519744873,765.0
105,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,19,-0.03871631622314453,25,79,8.860098,8.96411418914795,895.0
106,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,20,-0.04150867462158203,235,57,9.015726,9.144248962402344,815.0
107,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,21,-0.026159286499023438,15,65,9.017074,9.11933422088623,885.0
108,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,22,-0.028575897216796875,80,78,8.884437,9.173377990722656,1080.0
109,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,23,-0.03344440460205078,25,75,9.082306,9.164379119873047,885.0
110,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,24,-0.02651500701904297,110,23,8.890913,8.940296173095703,890.0
111,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,25,-0.044246673583984375,115,27,9.019368,9.070018768310547,885.0
112,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,26,-0.02385997772216797,160,57,9.030223,9.234557151794434,1070.0
113,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,27,-0.021726608276367188,25,53,9.112605,9.211852073669434,1080.0
114,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,28,-0.018215179443359375,20,51,9.117261,9.330945014953613,1070.0
115,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,29,-0.04090595245361328,10,28,9.038064,9.082975387573242,940.0
116,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,30,-0.04495525360107422,20,12,8.875482,8.96396541595459,910.0
117,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,31,-0.01733875274658203,15,17,9.0205,9.042764663696289,970.0
118,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,32,-0.020150184631347656,15,30,9.126314,9.22825813293457,1080.0
119,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,33,-0.01613616943359375,25,30,9.144405,9.333600997924805,1080.0
120,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,34,-0.04002189636230469,15,10,9.151308,9.243368148803711,945.0
121,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,35,-0.016965866088867188,100,27,9.124004,9.207080841064453,1080.0
122,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,36,-0.034698486328125,15,24,8.816887,8.88927936553955,965.0
123,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,37,-0.02306365966796875,70,20,8.839885,8.896080017089844,990.0
124,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,38,-0.016259193420410156,5,17,9.180219,9.196118354797363,1000.0
125,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,39,-0.028403282165527344,20,10,8.930139,8.992157936096191,1025.0
126,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,40,-0.032497406005859375,5,12,9.217384,9.271697998046875,1080.0
127,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,41,-0.02605438232421875,15,11,9.176231,9.198853492736816,1070.0
128,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,42,-0.017739295959472656,5,6,9.132727,9.149825096130371,1055.0
129,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,43,-0.0231475830078125,5,3,9.287765,9.30089282989502,1070.0
130,20240809__XY10_crop5__Track_4,20240809,XY10_crop5,Track_4,1,-0.09508132934570312,930,217,8.863116,9.294784545898438,190.0
131,20240809__XY10_crop5__Track_4,20240809,XY10_crop5,Track_4,2,-0.04125499725341797,185,162,9.014375,9.298057556152344,275.0
132,20240809__XY10_crop5__Track_4,20240809,XY10_crop5,Track_4,3,-0.029343605041503906,60,129,8.777642,8.950505256652832,1080.0
133,20240809__XY10_crop5__Track_4,20240809,XY10_crop5,Track_4,4,-0.030477523803710938,240,97,8.939345,9.081308364868164,1080.0
134,20240809__XY10_crop5__Track_4,20240809,XY10_crop5,Track_4,5,-0.04270648956298828,375,76,8.6536455,8.879303932189941,1025.0
135,20240809__XY10_crop5__Track_4,20240809,XY10_crop5,Track_4,6,-0.03815937042236328,115,74,8.8771515,8.957354545593262,1075.0
136,20240809__XY10_crop5__Track_4,20240809,XY10_crop5,Track_4,7,-0.033514976501464844,25,55,8.989575,9.041068077087402,1035.0
137,20240809__XY10_crop5__Track_4,20240809,XY10_crop5,Track_4,8,-0.04860115051269531,5,34,8.819938,8.938416481018066,1080.0
138,20240809__XY10_crop5__Track_4,20240809,XY10_crop5,Track_4,9,-0.02473163604736328,125,33,8.960242,9.009177207946777,1000.0
139,20240809__XY10_crop5__Track_4,20240809,XY10_crop5,Track_4,10,-0.021080970764160156,25,30,8.690335,8.827143669128418,1070.0
140,20240809__XY10_crop5__Track_4,20240809,XY10_crop5,Track_4,11,-0.03685760498046875,60,19,8.834558,8.87730598449707,1075.0
141,20240809__XY10_crop5__Track_4,20240809,XY10_crop5,Track_4,12,-0.012723922729492188,10,18,8.965373,9.038657188415527,1080.0
142,20240809__XY10_crop5__Track_4,20240809,XY10_crop5,Track_4,13,-0.03228187561035156,20,11,8.978331,9.010459899902344,1035.0
143,20240809__XY10_crop5__Track_4,20240809,XY10_crop5,Track_4,14,-0.016655921936035156,40,11,9.051425,9.077127456665039,1030.0
144,20240809__XY10_crop5__Track_4,20240809,XY10_crop5,Track_4,15,-0.011341094970703125,5,7,8.809902,8.822291374206543,1050.0
145,20240809__XY10_crop5__Track_4,20240809,XY10_crop5,Track_4,16,,,1,8.929275,8.929274559020996,1080.0
146,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,1,-0.05608844757080078,430,217,8.733457,9.0692138671875,135.0
147,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,2,-0.03719902038574219,505,163,8.844199,9.109944343566895,270.0
148,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,3,-0.029738426208496094,410,143,8.783272,9.003741264343262,1060.0
149,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,4,-0.04652214050292969,50,132,8.771445,8.979264259338379,1050.0
150,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,5,-0.02965831756591797,205,102,8.807778,9.077052116394043,1060.0
151,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,6,-0.03747844696044922,20,98,8.751219,9.009096145629883,1040.0
152,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,7,-0.02654743194580078,155,93,8.701143,8.785405158996582,985.0
153,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,8,-0.032257080078125,265,90,8.784743,9.018064498901367,1070.0
154,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,9,-0.01951122283935547,250,65,8.880333,9.012595176696777,1060.0
155,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,10,-0.02144622802734375,5,50,8.75386,8.906500816345215,1025.0
156,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,11,-0.02212047576904297,200,58,8.831846,8.984040260314941,1030.0
